,gene_name,frec
569,C1orf174,3
570,EDN1,3
571,SDHAF1,3
572,NEK5,3
573,EDNRB,3
574,NLRP1,3
575,TPM4,3
576,C1orf122,3
577,EEF1A1,3
578,EEF1B2,3
579,TPPP,3
580,PDPN,3
581,CAMK1G,3
582,TOX3,3
583,SH3D21,3
584,NEURL4,3
585,SH3BP5,3
586,DZIP3,3
587,NKX6-1,3
588,SEL1L,3
589,TMEM204,3
590,CALCOCO1,3
591,CALCOCO2,3
592,LIG1,3
593,TMEM2,3
594,TOX2,3
595,SH3GLB2,3
596,IFT46,3
597,NEO1,3
598,DNAJC17,3
599,TOPORS,3
600,CALML3,3
601,LAMA3,3
602,TOR2A,3
603,CALY,3
604,EEF1D,3
605,C1orf109,3
606,ESRP1,3
607,C1orf101,3
608,SCML2,3
609,C19orf52,3
610,SCIN,3
611,ILKAP,3
612,EHD1,3
613,TREM2,3
614,SCG2,3
615,KRTCAP2,3
616,TRIB1,3
617,C17orf89,3
618,SIM2,3
619,C17orf82,3
620,KRT7,3
621,EIF2A,3
622,LLGL1,3
623,PCDHB8,3
624,NDUFS4,3
625,IDH1,3
626,KRT23,3
627,SBNO2,3
628,PCDHB2,3
629,TMEM151B,3
630,DMRT3,3
631,EFNB3,3
632,SHISA3,3
633,TPRN,3
634,PDXK,3
635,C1QTNF9B,3
636,NEIL3,3
637,TPSG1,3
638,DNAH14,3
639,TPST2,3
640,EEPD1,3
641,SCXA,3
642,L3HYPDH,3
643,SCN7A,3
644,SCRN3,3
645,SHMT1,3
646,CAPN1,3
647,PCDHGC3,3
648,TMEM163,3
649,PDZK1,3
650,C19orf73,3
651,ILF2,3
652,TRAM1L1,3
653,TOE1,3
654,LHPP,3
655,TNXB,3
656,TMEM216,3
657,SFTPC,3
658,DRD4,3
659,TMIE,3
660,NIPSNAP3B,3
661,TMOD1,3
662,DROSHA,3
663,LDLR,3
664,C6orf211,3
665,IGSF22,3
666,LDLRAD3,3
667,C9orf78,3
668,C6orf136,3
669,C9orf84,3
670,PDE3A,3
671,DSG1,3
672,DSTN,3
673,DTD1,3
674,IGLL5,3
675,LEFTY1,3
676,C5orf56,3
677,TMEM26,3
678,TMEM97,3
679,C7orf26,3
680,NHS,3
681,LCP2,3
682,TMEM55B,3
683,DPM1,3
684,PCYOX1L,3
685,IKZF3,3
686,SFRP1,3
687,TMEM63C,3
688,C8orf44,3
689,SETDB2,3
690,DOT1L,3
691,TMEM69,3
692,TMEM9,3
693,IKZF1,3
694,DPYSL3,3
695,DPYSL4,3
696,DR1,3
697,DRAM1,3
698,DOLK,3
699,NICN1,3
700,SET,3
701,DOK7,3
702,TMUB2,3
703,C5orf30,3
704,DTNBP1,3
705,LGR6,3
706,DUSP6,3
707,DNER,3
708,TNIP3,3
709,IGFBP2,3
710,SENP1,3
711,SEMA7A,3
712,LAMTOR2,3
713,C2orf61,3
714,DYDC2,3
715,NFATC2,3
716,SEP15,3
717,SH2D5,3
718,IGF1R,3
719,C2CD5,3
720,DYNLL2,3
721,DNAJC5B,3
722,CACTIN,3
723,LAMC3,3
724,SH3BGRL2,3
725,PDIA2,3
726,C2orf88,3
727,DNMBP,3
728,DTWD1,3
729,DOC2B,3
730,DOCK11,3
731,SERP1,3
732,SERINC3,3
733,SERINC2,3
734,SGK2,3
735,TNFRSF10B,3
736,SERHL2,3
737,DUS2,3
738,TNFRSF12A,3
739,DUSP11,3
740,DNMT1,3
741,SGOL2,3
742,C3orf72,3
743,DUSP13,3
744,LGALS12,3
745,SGPL1,3
746,TMEM245,3
747,TNFSF12,3
748,DNMT3B,3
749,TNFSF14,3
750,DKK1,3
751,SBK1,3
752,SBF2,3
753,RTN1,3
754,KLRD1,3
755,EPHA8,3
756,CCDC158,3
757,NOTCH2NL,3
758,TTLL2,3
759,KLRC4-KLRK1,3
760,TTLL4,3
761,PCDH18,3
762,RGS7BP,3
763,PHACTR1,3
764,NCDN,3
765,DGKE,3
766,TTYH1,3
767,BOLA3,3
768,TTYH3,3
769,DGCR2,3
770,RPUSD2,3
771,RPTOR,3
772,BNIP3,3
773,NCAPH,3
774,NOTUM,3
775,RRM2,3
776,TLDC1,3
777,EPHA10,3
778,KLRG2,3
779,TTC18,3
780,ENOX2,3
781,CCDC120,3
782,BTBD3,3
783,SLC13A5,3
784,SLC15A3,3
785,NOS1,3
786,SLC16A1,3
787,TLR10,3
788,NOS3,3
789,PCDH19,3
790,LRP10,3
791,CCDC148,3
792,BRIP1,3
793,HSPA5,3
794,HSPA2,3
795,EPB41L4B,3
796,EPDR1,3
797,RRP36,3
798,PGR,3
799,EPS8L3,3
800,NOVA2,3
801,RPS6KA4,3
802,SLC24A5,3
803,SLC22A5,3
804,BEX2,3
805,NPAS2,3
806,TXNL4B,3
807,RPP25L,3
808,BEST4,3
809,TYK2,3
810,INTS4,3
811,RPN1,3
812,INTS7,3
813,NBPF14,3
814,BEND3,3
815,BEGAIN,3
816,RPL7,3
817,U2AF1,3
818,BDKRB2,3
819,RPL5,3
820,RPL4,3
821,NPC1,3
822,HS6ST1,3
823,ERN1,3
824,DENND2D,3
825,INPP5E,3
826,HSD17B6,3
827,DES,3
828,PHF1,3
829,NCAM1,3
830,SLC22A10,3
831,SLC22A11,3
832,RPS26,3
833,ERC2,3
834,NOXO1,3
835,RPS23,3
836,INPP5K,3
837,BHLHE40,3
838,ERCC4,3
839,TIMM17B,3
840,BLK,3
841,CCDC60,3
842,BIVM,3
843,ERGIC1,3
844,TWISTNB,3
845,BIN1,3
846,BHMT,3
847,PGD,3
848,RTN2,3
849,LMAN2,3
850,SLC13A2,3
851,TRMT10A,3
852,CAV2,3
853,TRMT112,3
854,TMEFF1,3
855,ELMO2,3
856,CBLL1,3
857,C14orf119,3
858,NDUFAF4,3
859,CBLN3,3
860,TRNP1,3
861,C12orf75,3
862,LMO1,3
863,TMED5,3
864,C12orf61,3
865,NDUFAB1,3
866,C12orf57,3
867,C12orf56,3
868,DIO3,3
869,NDUFA4,3
870,C12orf39,3
871,TRPV3,3
872,NDUFAF6,3
873,C15orf38-AP3S2,3
874,SAMD13,3
875,ICMT,3
876,PEX11B,3
877,TRIM45,3
878,DKFZP667F0711,3
879,SIRT7,3
880,KRT2,3
881,PEX13,3
882,EIF4A1,3
883,KRT19,3
884,NNAT,3
885,TMEM109,3
886,C15orf40,3
887,IAH1,3
888,LMCD1,3
889,SAP18,3
890,TRIM7,3
891,SAMSN1,3
892,TMEM106B,3
893,SAMD8,3
894,INF2,3
895,ELFN1,3
896,TRPV4,3
897,ELP3,3
898,TMCO3,3
899,TSPO2,3
900,PGAM1,3
901,LPCAT2,3
902,EML5,3
903,TSPAN33,3
904,KPNA5,3
905,CCAR1,3
906,TSPAN8,3
907,TSPEAR,3
908,RUNX3,3
909,TSPYL2,3
910,HTR1F,3
911,LPIN3,3
912,TSR1,3
913,RUNDC3B,3
914,LPL,3
