,gene_name,frec
728,RAB18,3
729,RAB15,3
730,R3HCC1,3
731,RNF182,3
732,RORB,3
733,RP11-122A3.2,3
734,SIGIRR,3
735,SIRPD,3
736,SIRPA,3
737,SIPA1L2,3
738,SIN3B,3
739,SIK3,3
740,SIGLEC15,3
741,SHQ1,3
742,SLC16A9,3
743,SHE,3
744,SH3TC2,3
745,SH3BP5,3
746,SH2B2,3
747,SGOL1,3
748,SGCG,3
749,SIVA1,3
750,SLC18B1,3
751,SERP2,3
752,SLC35E1,3
753,SLC4A4,3
754,SLC4A11,3
755,SLC39A8,3
756,SLC39A4,3
757,SLC38A10,3
758,SLC35F6,3
759,SLC35B2,3
760,SLC1A1,3
761,SLC2A14,3
762,SLC25A1,3
763,SLC22A2,3
764,SLC22A16,3
765,SLC1A5,3
766,SLC1A3,3
767,SETD5,3
768,SERINC3,3
769,RP11-426L16.10,3
770,RPL36A,3
771,RPS27A,3
772,RPS17,3
773,RPS11,3
774,RPL39L,3
775,RPL38,3
776,RPL37,3
777,RPL3,3
778,RRAS2,3
779,RPL28,3
780,RPL17-C18orf32,3
781,RPA1,3
782,RP11-93B14.6,3
783,RP11-849F2.7,3
784,RP11-542C16.2,3
785,RPS28,3
786,RSPH9,3
787,SEPW1,3
788,SCYL2,3
789,SENP8,3
790,SEMA3G,3
791,SELP,3
792,SECISBP2,3
793,SEC11C,3
794,SDHB,3
795,SCN4A,3
796,RTTN,3
797,SCML1,3
798,SCAMP4,3
799,SBSPON,3
800,SBK1,3
801,SALL4,3
802,S1PR5,3
803,MLF1,3
804,KIAA1644,3
805,MIS18A,3
806,CETN3,3
807,CEP85L,3
808,CEP290,3
809,CEP19,3
810,CENPL,3
811,CENPJ,3
812,CENPBD1,3
813,CEND1,3
814,CELSR2,3
815,CDRT1,3
816,CDK9,3
817,CDK19,3
818,CDK13,3
819,CDHR3,3
820,CDCA7,3
821,CDC26,3
822,CERS4,3
823,CFB,3
824,CD33,3
825,CHKA,3
826,CLUAP1,3
827,CLTC,3
828,CLPB,3
829,CLEC4G,3
830,CLCN2,3
831,CLASP1,3
832,CKMT2,3
833,CKAP4,3
834,CKAP2,3
835,CHST9,3
836,CHST14,3
837,CHPT1,3
838,CHODL,3
839,CHMP4B,3
840,CHKB,3
841,CD55,3
842,CCT8,3
843,CMSS1,3
844,CC2D1A,3
845,CASZ1,3
846,CASC1,3
847,CARM1,3
848,CAPNS2,3
849,CAMLG,3
850,CALN1,3
851,CALD1,3
852,CACNA2D3,3
853,CACNA1D,3
854,CA13,3
855,CA10,3
856,C9orf96,3
857,C9orf41,3
858,C9orf147,3
859,C9orf129,3
860,CBWD6,3
861,CCDC102A,3
862,CCT3,3
863,CCDC102B,3
864,CCNI2,3
865,CCL3L3,3
866,CCL13,3
867,CCDC88B,3
868,CCDC88A,3
869,CCDC87,3
870,CCDC73,3
871,CCDC69,3
872,CCDC68,3
873,CCDC178,3
874,CCDC160,3
875,CCDC144A,3
876,CCDC124,3
877,CCDC117,3
878,CCDC103,3
879,CLUH,3
880,CMTM6,3
881,C5orf54,3
882,DMC1,3
883,DLAT,3
884,DHRS1,3
885,DGKD,3
886,DGCR14,3
887,DENND2C,3
888,DEDD,3
889,DDX10,3
890,DCTN6,3
891,DCDC2,3
892,DCAF15,3
893,DCAF12,3
894,DALRD3,3
895,DACT3,3
896,DAB2IP,3
897,CYP4A11,3
898,DLX2,3
899,DMRT2,3
900,CYP27B1,3
901,DMRT3,3
902,DOPEY1,3
903,DNTTIP2,3
904,DNTTIP1,3
905,DNPEP,3
906,DNMT1,3
907,DNLZ,3
908,DNASE2B,3
909,DNAJC30,3
910,DNAJC2,3
911,DNAJC19,3
912,DNAJC18,3
913,DNAJC15,3
914,DNAJB6,3
915,DNAJB2,3
916,DNAH11,3
917,CYP3A5,3
918,CYP21A2,3
919,CNBP,3
920,CRLF1,3
921,CRABP1,3
922,CPA5,3
923,CPA2,3
924,COX7A1,3
925,COLCA2,3
926,COL5A2,3
927,COL28A1,3
928,COL21A1,3
929,COL15A1,3
930,COL11A1,3
931,COG7,3
932,CNST,3
933,CNR1,3
934,CNOT6L,3
935,CNKSR2,3
936,CRAT,3
937,CRNKL1,3
938,CYB561D2,3
939,CRTAP,3
940,CUX2,3
941,CTSS,3
942,CTIF,3
943,CTHRC1,3
944,CTGF,3
945,CTF1,3
946,CTDSPL2,3
947,CTD-2192J16.20,3
948,CTCF,3
949,CTC1,3
950,CTC-487M23.8,3
951,CTB-54O9.9,3
952,CSTA,3
953,CRYM,3
954,CRYGN,3
955,C8orf82,3
956,C5orf22,3
957,DPH1,3
958,ANKRD33B,3
959,ANGPTL6,3
960,ALOX5,3
961,ALG6,3
962,ALG10,3
963,ALDOB,3
964,ALDH3A1,3
965,ALDH1A2,3
966,ALDH18A1,3
967,ALAS1,3
968,AL627171.2,3
969,AL358113.1,3
970,AKR7A2,3
971,AKR1C1,3
972,AKAP9,3
973,AK8,3
974,ANKRD33,3
975,ANKRD36C,3
976,AIFM3,3
977,ANKRD39,3
978,ARHGAP36,3
979,ARHGAP24,3
980,ARHGAP10,3
981,AQP11,3
982,APOPT1,3
983,APOC4-APOC2,3
984,APOA1BP,3
985,APLF,3
986,APCDD1L,3
987,AP3S1,3
988,AP1G1,3
989,AP005482.1,3
990,ANO5,3
991,ANKS6,3
992,ANKS1B,3
993,AJUBA,3
994,AHSG,3
995,ARHGEF39,3
996,ACBD4,3
997,AC129492.6,3
998,AC093157.1,3
999,AC021860.1,3
1000,AC011897.1,3
1001,AC006132.1,3
1002,AC002398.9,3
1003,ABHD8,3
1004,ABHD1,3
1005,ABCF3,3
1006,ABCD2,3
1007,ABCD1,3
1008,ABCB9,3
1009,ABCB8,3
1010,AAR2,3
1011,A2ML1,3
1012,AC137932.1,3
1013,ACR,3
1014,AHSA2,3
1015,ACSF2,3
1016,AGXT,3
1017,AGER,3
1018,AGAP6,3
1019,AGAP5,3
1020,AFMID,3
1021,ADSSL1,3
1022,ADH5,3
1023,ADCY9,3
1024,ADAT1,3
1025,ADAM32,3
1026,ADAM12,3
1027,ACTR8,3
1028,ACSM5,3
1029,ACSM2B,3
1030,ACSL3,3
1031,ARHGEF10,3
1032,ARID5B,3
1033,C4BPA,3
1034,C14orf80,3
1035,C12orf56,3
1036,C12orf39,3
1037,C11orf96,3
1038,C11orf88,3
1039,C11orf84,3
1040,C10orf99,3
1041,C10orf67,3
1042,C10orf55,3
1043,C10orf112,3
1044,C10orf107,3
1045,BTBD6,3
1046,BRMS1,3
1047,BRINP1,3
1048,BRD3,3
1049,BPHL,3
1050,C12orf75,3
1051,C15orf38-AP3S2,3
1052,BNC2,3
1053,C15orf40,3
1054,C3orf58,3
1055,C3orf55,3
1056,C3,3
1057,C22orf23,3
1058,C20orf112,3
1059,C1orf220,3
1060,C1orf134,3
1061,C19orf82,3
1062,C19orf59,3
1063,C19orf57,3
1064,C19orf12,3
1065,C17orf62,3
1066,C16orf93,3
1067,C16orf58,3
1068,C15orf41,3
1069,BNIP3L,3
1070,BMP6,3
1071,ARL14,3
1072,ATP13A4,3
1073,ATP12A,3
1074,ATG9B,3
1075,ATG4B,3
1076,ATF6,3
1077,ASPHD1,3
1078,ASIP,3
1079,ASB13,3
1080,ASB12,3
1081,ASAP3,3
1082,ARSJ,3
1083,ARSF,3
1084,ARSA,3
1085,ARMCX1,3
1086,ARL6IP4,3
1087,ARL6,3
1088,ATP13A3,3
1089,ATP5G2,3
1090,BEST4,3
1091,ATP6V0A1,3
1092,BEND3,3
1093,BCR,3
1094,BCL2L13,3
1095,BARD1,3
1096,BABAM1,3
1097,B4GALT3,3
1098,B3GNT8,3
1099,B3GNT5,3
1100,B3GAT2,3
1101,B3GALTL,3
1102,B3GALNT1,3
1103,AZGP1,3
1104,AVIL,3
1105,ATXN2,3
1106,ATRIP,3
1107,DOT1L,3
1108,DPH7,3
1109,MIOS,3
1110,KCNE1,3
1111,KBTBD2,3
1112,KBTBD11,3
1113,KAT6B,3
1114,ITPK1,3
1115,ITIH5,3
1116,ITGBL1,3
1117,ISY1,3
1118,ISLR,3
1119,IRF4,3
1120,IRF3,3
1121,IRF2BP2,3
1122,IQGAP2,3
1123,INTS5,3
1124,INMT,3
1125,INCA1,3
1126,KCMF1,3
1127,KCNE1L,3
1128,IMPDH1,3
1129,KCNG2,3
1130,KIAA1467,3
1131,KIAA1462,3
1132,KIAA1432,3
1133,KIAA1199,3
1134,KIAA1143,3
1135,KIAA0947,3
1136,KIAA0408,3
1137,KIAA0319L,3
1138,KHDRBS2,3
1139,KCTD13,3
1140,KCNT2,3
1141,KCNS1,3
1142,KCNJ15,3
1143,KCNJ12,3
1144,KCNIP4,3
1145,IMPDH2,3
1146,IMPA1,3
1147,TYRP1,3
1148,HSPA4,3
1149,HSH2D,3
1150,HSF1,3
1151,HSDL2,3
1152,HSD11B1,3
1153,HOXC6,3
1154,HOXA11,3
1155,HOPX,3
1156,HNRNPUL1,3
1157,HMMR,3
1158,HMHA1,3
1159,HMGN2,3
1160,HMGCS2,3
1161,HMGCL,3
1162,HMGB1,3
1163,HLF,3
1164,HSPA13,3
1165,HSPG2,3
1166,ILVBL,3
1167,HTR3A,3
1168,IL8,3
1169,IL1RL1,3
1170,IL1RAPL1,3
1171,IL17RA,3
1172,IGFLR1,3
1173,IGFBPL1,3
1174,IGFBP6,3
1175,IGF2R,3
1176,IFT81,3
1177,IFT140,3
1178,IFITM10,3
1179,IFIT2,3
1180,IFI30,3
1181,ICAM1,3
1182,HTRA3,3
1183,KIAA1586,3
1184,KIAA1671,3
1185,HIST2H4A,3
1186,MARCH2,3
1187,MAN1C1,3
1188,MAGEH1,3
1189,LY6G5B,3
1190,LY6E,3
1191,LUC7L2,3
1192,LTB,3
1193,LSM14B,3
1194,LSAMP,3
1195,LRRC8D,3
